acc,sens,spec,auc
0.3033865060968083,0.7441158720579361,0.2593129045398995,0.5010858468639678
0.30281960558435506,0.7429476542464927,0.25880613676477243,0.5000330223408322
0.3043832491445332,0.740403286034354,0.2607805941836323,0.4959979423660589
0.30373146488512304,0.7463778939507095,0.259466160808974,0.4971699256189247
0.30525490831948326,0.745243757431629,0.2612553694317692,0.504936644509361
0.30385852090032156,0.7469163322930599,0.25955208132086965,0.5053264236223776
0.30079360750518164,0.7447127643617819,0.25640102596409126,0.49770200708341944
0.30143429771221336,0.743662816859157,0.25721741477826604,0.4963247495928418
0.30398655204930913,0.7539085989176187,0.2589936709812234,0.5067747294171201
0.30335328359432645,0.7456786412144897,0.2591200829713358,0.4997941427689393
0.3030978563758207,0.7383373205741627,0.259573259169545,0.4942694513339845
0.302989111965963,0.7507476076555024,0.2582125928916401,0.5037251405112039
0.3055034607444986,0.7487384980706441,0.26117929918817434,0.4985615684390912
0.3036099719404274,0.746549933224514,0.2593153185237947,0.4980879517952294
0.30250996476228986,0.7413820492454328,0.25862205912722996,0.5015753047738092
